time,pos_x,pos_y
3316.21,-1.5998641225812795,-4.420223592815147
3316.261,-1.5818246351383096,-4.418194049928843
3316.312,-1.5638047476953396,-4.416184107042539
3316.363,-1.5457652602523697,-4.4141545641562345
3316.414,-1.5277453728093997,-4.41214462126993
3316.465,-1.5097058853664298,-4.410115078383626
3316.516,-1.4916859979234598,-4.408105135497322
3316.567,-1.47364651048049,-4.4060755926110176
3316.618,-1.4556266230375199,-4.404065649724713
3316.669,-1.43758713559455,-4.402036106838409
3316.72,-1.41956724815158,-4.400026163952105
3316.771,-1.40152776070861,-4.397996621065801
3316.822,-1.38350787326564,-4.395986678179496
3316.873,-1.3654683858226702,-4.393957135293192
3316.924,-1.3474484983797002,-4.391947192406888
3316.975,-1.3294090109367303,-4.389917649520584
3317.026,-1.3113891234937602,-4.387907706634279
3317.077,-1.2933496360507903,-4.385878163747975
3317.128,-1.2753297486078203,-4.383868220861671
3317.179,-1.2572902611648504,-4.381838677975367
3317.23,-1.2392703737218804,-4.379828735089062
3317.281,-1.2212308862789105,-4.377799192202758
3317.332,-1.2032109988359405,-4.375789249316454
3317.383,-1.1851715113929706,-4.37375970643015
3317.434,-1.1671516239500006,-4.371749763543845
3317.485,-1.1491121365070307,-4.369720220657541
3317.536,-1.1310922490640607,-4.367710277771237
3317.587,-1.1130527616210908,-4.365680734884933
3317.638,-1.0950328741781208,-4.363670791998628
3317.689,-1.0769933867351509,-4.361641249112324
3317.74,-1.0589734992921809,-4.35963130622602
3317.791,-1.040934011849211,-4.357601763339716
3317.842,-1.022914124406241,-4.355591820453411
3317.893,-1.004874636963271,-4.353562277567107
3317.944,-0.986854749520299,-4.351552334680803
3317.995,-0.9688152620773262,-4.349522791794499
3318.046,-0.9507953746343534,-4.3475128489081944
3318.097,-0.9327558871913806,-4.34548330602189
3318.148,-0.9147359997484078,-4.343473363135586
3318.199,-0.896696512305435,-4.341443820249282
3318.25,-0.8786766248624622,-4.3394338773629775
3318.301,-0.8606371374194894,-4.337404334476673
3318.352,-0.8426172499765167,-4.335394391590369
3318.403,-0.8245777625335439,-4.333364848704065
3318.454,-0.8065578750905711,-4.3313549058177605
3318.505,-0.7885183876475983,-4.329325362931456
3318.556,-0.7704985002046255,-4.327315420045152
3318.607,-0.7524590127616527,-4.325285877158848
3318.658,-0.7344391253186799,-4.3232759342725435
