time,vel_x,vel_y
3303.424,0.34851182995527535,0.03574878617902657
3303.449,0.3485308545608996,0.03566764810970045
3303.484,0.34855386563344604,0.035575454674437484
3303.508,0.3485654201269283,0.03557096109723583
3303.522,0.34857473584772414,0.035564501815921454
3303.536,0.348573517217951,0.0356008724741866
3303.551,0.34857361270230947,0.035634333447161604
3303.575,0.3485756934177847,0.03566886845280726
3303.601,0.348563133755489,0.0356689792631914
3303.638,0.34852096019791146,0.035661621667558596
3303.666,0.34851540615332377,0.03559133477309432
3303.683,0.34850210419017025,0.03555429325035242
3303.701,0.348503213107278,0.03551931423705566
3303.717,0.348505269439432,0.0354925610650767
3303.736,0.34849702650925574,0.03542413357670691
3303.756,0.34850624424143484,0.035379583997157224
3303.787,0.3596046640724432,0.034721623639677936
3303.809,0.3573660634052469,0.034794439630541615
3303.829,0.35581177607777914,0.03483506618648151
3303.856,0.35428649774626286,0.03483137097163319
3303.873,0.35336264154798036,0.034824140290731484
3303.894,0.3521489118597246,0.034804333405262865
3303.915,0.35124894517906896,0.034783285777955905
3303.949,0.3499296027371987,0.034865257699878076
3303.969,0.34935389872393185,0.03487513281231789
3303.993,0.3487528900524922,0.034879571174068334
3304.019,0.3482347257645125,0.03498228682236837
3304.039,0.33998066282177836,0.03908400761881792
3304.055,0.3407790638221267,0.03870606404549722
3304.069,0.3416281996493966,0.03833983518584613
3304.114,0.34334274815234256,0.03767513364942372
3304.135,0.34403471021093973,0.0374632736610965
3304.158,0.3451540948021347,0.03734118633020404
3304.182,0.3458437096818191,0.03724732575679026
3304.202,0.34672509629501913,0.03719025242825086
3304.207,0.3469169803391952,0.03718009892153008
3304.243,0.3477958839073346,0.03712460081174628
3304.27,0.3485766164017209,0.03714813978807239
3304.305,0.3492246953736908,0.03716448977864138
3304.324,0.3496256683152008,0.037203083241461314
3304.348,0.35001775376847505,0.037243313519846055
3304.372,0.3503318544854745,0.037266297495238895
3304.39,0.35051680972579646,0.037283716679599795
3304.409,0.3506599160835686,0.03726075788319351
3304.432,0.35083391449323664,0.037240364677646916
3304.452,0.35693968502656553,0.039757968710727495
3304.474,0.35598782784701,0.039171820692401826
3304.506,0.35471601085560556,0.03849415935686554
3304.532,0.35383226918604377,0.03775699217642437
3304.55,0.3532029836115559,0.03718383071180621
3304.567,0.3525828440247642,0.036674670482467725
3304.589,0.3519517333949884,0.03615444201836121
3304.636,0.35090576027867476,0.035285681052003644
3304.659,0.3503660865803309,0.035018998891853656
3304.672,0.350082759337214,0.03485168525813312
3304.697,0.3497073452306816,0.03463407340878624
3304.721,0.3493931525624353,0.0346063023243523
3304.735,0.34920860713147106,0.03458475295595161
3304.758,0.3490404525271291,0.034676966002922784
3304.773,0.3489257337565959,0.03473914408781342
3304.795,0.3488230723553227,0.034796234585280354
3304.811,0.3487950509708677,0.034945840797024924
3304.833,0.3487705396168462,0.03508136918359508
3304.859,0.3488008334018957,0.03521038253601877
3304.884,0.348857831735685,0.03546883725094415
3304.903,0.3490668848835627,0.03894842943020137
3304.934,0.3491678796662504,0.03839143157320681
3304.952,0.3492193638769068,0.03814791996527127
3304.975,0.3493204629329613,0.03776491281941474
3305.008,0.34951127953691086,0.03731850062168882
3305.028,0.349598151665773,0.036969447231467244
3305.051,0.34968307934117526,0.03666167401950125
3305.074,0.3497660691486554,0.036368992603515754
3305.095,0.3498369207021572,0.0361468861553614
3305.117,0.3499193877653113,0.0359255658111875
3305.135,0.34996707974077895,0.03577441906521575
3305.158,0.35002819328445894,0.035603861623525405
3305.176,0.35006512550480373,0.03552730591771637
3305.196,0.35010481831985085,0.03543838486848859
3305.244,0.350166909370988,0.03538385028037488
3305.269,0.3503574782017348,0.0401997191074296
3305.296,0.3503491821995357,0.03932803811787246
3305.313,0.3503405560120443,0.03880035712387725
3305.341,0.3503163839751802,0.0381408475607213
3305.36,0.35029875080571804,0.03774983317362579
3305.379,0.3502692809848689,0.037365829820042454
3305.395,0.3502495664008131,0.03707371746366817
3305.413,0.35022878491698434,0.03679224408705857
3305.431,0.35020198615644627,0.03652185451320667
3305.457,0.3501724279013952,0.03619242222620848
3305.477,0.3501423063530635,0.03594997566382162
3305.502,0.3501208652346011,0.03572115650753957
3305.523,0.3500988179619292,0.03559510195754245
3305.552,0.3500830411096065,0.03544297737521871
3305.572,0.35006920446749384,0.035401805149792145
3305.588,0.35006752996869195,0.03537041835504257
3305.598,0.3500672433606873,0.03535056808583509
3305.608,0.35006716638744445,0.035331550367349876
3305.625,0.35007174435448796,0.035348443425853984
3305.642,0.3500776091076425,0.035360675718493884
3305.661,0.35008321949492327,0.03536672117612101
3305.685,0.3500982388628968,0.03542775367917687
3305.697,0.3501064027452425,0.03545707403326131
3305.713,0.3501151498752586,0.035482304214774024
3305.745,0.35010269553477275,0.03558180229980007
3305.781,0.3500344914144211,0.035663100668960966
3305.796,0.3500145362227652,0.035713641364696964
3305.817,0.34999779138015524,0.03576311356333965
3305.837,0.3499775836777186,0.035809919612469966
3305.857,0.3499578174115786,0.035851626574811495
3305.881,0.3499370421871537,0.03588170939552026
3305.905,0.349930999492015,0.03590215375034941
3305.929,0.3501258149767308,0.04054462741834581
3305.952,0.3501074685949964,0.03973762651691365
3305.979,0.3501281206514392,0.038913840297366706
3305.993,0.350126839711927,0.038442791316707844
3306.014,0.35012622847560104,0.037863049844476
3306.044,0.35014527782029786,0.037121145821042784
3306.062,0.35015987299599216,0.03661648018248287
3306.086,0.3501956947390173,0.0361176509559757
3306.107,0.3502199119641819,0.035714383413412626
3306.125,0.35026226555935913,0.03540531917413477
3306.138,0.3502921998926688,0.03519293495909269
3306.153,0.3503124688392594,0.03500378840657465
3306.168,0.3503404499289291,0.03481000260112082
3306.194,0.3503906677738551,0.034596520071541056
3306.211,0.350419668574949,0.03448556902959751
3306.236,0.35066080069449884,0.03918482249857663
3306.264,0.3507023549535011,0.038014697080830884
3306.282,0.35893769334220105,0.03686431113762245
3306.296,0.3580207208535011,0.03649124266633022
3306.327,0.35639669640218474,0.03582199262414794
3306.35,0.3555117090756621,0.035337812111747205
3306.377,0.3545540215515479,0.03491533838236229
3306.402,0.3534314024365037,0.03438058018466053
3306.42,0.35276824752212443,0.03406480008741267
3306.455,0.36192011628750637,0.04350020209024682
3306.486,0.35879255321788456,0.04063706751254288
3306.503,0.3571457676858577,0.03939982497501739
3306.513,0.35639332780874644,0.038698049128078865
3306.531,0.35551853097283204,0.03785246823478938
3306.56,0.353438388331869,0.03606803669320166
3306.581,0.35257716945227136,0.035382766096287266
3306.604,0.35113808367794686,0.03403998429176536
3306.619,0.35052814031236035,0.03352097804642454
3306.644,0.34959841149075976,0.03272050297016302
3306.66,0.34920531396312715,0.03235191280222601
3306.69,0.34856116305466767,0.03171516040112427
3306.71,0.3482682705161727,0.03148452676312447
3306.732,0.34795564606235363,0.031240924807631392
3306.761,0.3478495802639052,0.03125097006081132
3306.776,0.3477909589226474,0.031238838615442285
3306.793,0.3478171315701811,0.03142235192239319
3306.822,0.34791571040081454,0.03166139254355014
3306.848,0.34811270204144346,0.03211015775984605
3306.87,0.3483176730349289,0.03240293782935406
3306.89,0.3485873630913203,0.0326725493643824
3306.907,0.34876184861865583,0.03296738211800008
3306.932,0.34902590050672144,0.033383425361733804
3306.951,0.3492985903293388,0.03374621541887195
3306.983,0.3496276396764556,0.03419758102609696
3307.004,0.35761025688365955,0.03745364944860966
3307.021,0.35683570143220605,0.03726431195194942
3307.048,0.35570551525946986,0.03700841085618649
3307.066,0.35498329869837075,0.036741336536596024
3307.087,0.35435790321496874,0.03649531288194839
3307.111,0.3535272896159952,0.035962716058493154
3307.131,0.35299379686851234,0.035647190368842264
3307.148,0.35261465712080786,0.03542058170888463
3307.166,0.3521559576366847,0.03501787970496525
3307.188,0.351754250608069,0.03466633683413366
3307.224,0.3511038465162755,0.03406717901665958
3307.263,0.35056825029550487,0.03355949380767885
3307.276,0.35041834007888195,0.03342618767475612
3307.288,0.35030321727255403,0.03329502735159701
3307.319,0.35008792888122253,0.03312067698458822
3307.345,0.3499420351526667,0.03299097851634353
3307.367,0.349902809654829,0.033021384296794874
3307.388,0.34987039846857515,0.03303605315078241
3307.412,0.3498832383082746,0.033237202232160507
3307.436,0.34992177427687643,0.03337285434373098
3307.462,0.35004090868449167,0.0338516819200061
3307.481,0.35012259797200884,0.03410494337268945
3307.497,0.35018955577910243,0.03429526049240397
3307.526,0.35037739154719755,0.03479649486610661
3307.553,0.3505211351582465,0.03517357876154439
3307.577,0.35070725713393214,0.03553563047780543
3307.629,0.35109396331440335,0.036089379274398384
3307.657,0.3512327058224758,0.036263862408095156
